id_aset,BAST_PEMAKAI_NOMOR,BAST_PEMAKAI_TANGGAL,DOKUMEN_SUMBER_PENGGUNA_NOMOR,DOKUMEN_SUMBER_PENGGUNA_TANGGAL,DOKUMEN_PENDUKUNG_LAINNYA_NAMA,DOKUMEN_PENDUKUNG_LAINNYA_TANGGAL,KETERANGAN
AST-KDRN-2026-00001,0001.4/ 1053 /430.9.3/2026,5 Januari 2026,,,,,
AST-KDRN-2026-00002,0001.4/ 1054 /430.9.3/2026,5 Januari 2026,,,,,
AST-KDRN-2026-00003,0001.4/ 1055 /430.9.3/2026,5 Januari 2026,,,,,
AST-KDRN-2026-00004,0001.4/ 1056 /430.9.3/2026,5 Januari 2026,,,,,
AST-KDRN-2026-00005,0001.4/ 1057 /430.9.3/2026,5 Januari 2026,,,,,
AST-KDRN-2026-00006,0001.4/ 1058 /430.9.3/2026,5 Januari 2026,,,,,
AST-KDRN-2026-00007,0001.4/ 1059 /430.9.3/2026,5 Januari 2026,,,,,
AST-KDRN-2026-00008,0001.4/ 1060 /430.9.3/2026,5 Januari 2026,,,,,
AST-KDRN-2026-00009,0001.4/ 1061 /430.9.3/2026,5 Januari 2026,,,,,
AST-KDRN-2026-00010,0001.4/ 1062 /430.9.3/2026,5 Januari 2026,,,,,
AST-KDRN-2026-00011,0001.4/ 1063 /430.9.3/2026,5 Januari 2026,,,,,
AST-KDRN-2026-00012,0001.4/ 1064 /430.9.3/2026,5 Januari 2026,,,,,
AST-PRLTN-2026-00002,0001.4/ 1065 /430.9.3/2026,5 Januari 2026,,,,,
AST-PRLTN-2026-00003,0001.4/ 1066 /430.9.3/2026,5 Januari 2026,,,,,
AST-PRLTN-2026-00004,0001.4/ 1067 /430.9.3/2026,5 Januari 2026,,,,,
AST-PRLTN-2026-00005,0001.4/ 1068 /430.9.3/2026,5 Januari 2026,,,,,
AST-PRLTN-2026-00006,0001.4/ 1069 /430.9.3/2026,5 Januari 2026,,,,,
AST-PRLTN-2026-00007,0001.4/ 1070 /430.9.3/2026,5 Januari 2026,,,,,
AST-PRLTN-2026-00010,0001.4/ 1071 /430.9.3/2026,5 Januari 2026,,,,,
AST-PRLTN-2026-00012,0001.4/ 1072 /430.9.3/2026,5 Januari 2026,,,,,
AST-PRLTN-2026-00013,0001.4/ 1073 /430.9.3/2026,5 Januari 2026,,,,,
