id,jenis_aset,jenis_template,nama_template,isi_template,status,created_at,tags
T-001,Kendaraan,Berita Acara,Berita Acara Kendaraan,1DmgzoSyCKgC1zF-Mc9URZCz8Cs5uYybolP7lYy7hk_A,Aktif,2026-05-31T13:26:54.225Z,"[""{{nama_peminjam}}"",""{{nip_peminjam}}"",""{{jabatan_peminjam}}"",""{{unit_kerja}}"",""{{nama_barang}}"",""{{kode_barang}}"",""{{nibar}}"",""{{merek}}"",""{{ukuran}}"",""{{bahan}}"",""{{tahun_perolehan}}"",""{{nomor_rangka}}"",""{{nomor_mesin}}"",""{{nomor_polisi}}"",""{{nomor_bpkb}}"",""{{foto_kendaraan}}"",""{{foto_stnk}}"",""{{foto_pajak}}""]"
T-002,Kendaraan,Pakta Integritas,Pakta Integritas Kendaraan,1bdtWDeo706ELAPjFQNNTRVvmfCe5FjozaTSZ7UDlEeA,Aktif,2026-05-31T13:26:54.533Z,"[""{{nama_peminjam}}"",""{{nip_peminjam}}"",""{{pangkat_peminjam}}"",""{{jabatan_peminjam}}"",""{{unit_kerja}}"",""{{nama_barang}}"",""{{kode_barang}}"",""{{nibar}}"",""{{merek}}"",""{{ukuran}}"",""{{bahan}}"",""{{tahun_perolehan}}"",""{{nomor_rangka}}"",""{{nomor_mesin}}"",""{{nomor_polisi}}"",""{{nomor_bpkb}}""]"
T-003,Peralatan,Berita Acara,Berita Acara Peralatan,19vIZ1aomv-OwwSAyp3FRK9ujPNJZHfnvr8A7a4kx2Q4,Aktif,2026-05-31T13:26:55.566Z,"[""{{nama_peminjam}}"",""{{nip_peminjam}}"",""{{jabatan_peminjam}}"",""{{unit_kerja}}"",""{{nama_barang}}"",""{{kode_barang}}"",""{{nibar}}"",""{{merek}}"",""{{bahan}}"",""{{tahun_perolehan}}"",""{{nomor_mesin}}"",""{{foto_peralatan}}""]"
T-004,Peralatan,Pakta Integritas,Pakta Integritas Peralatan,1kD5VWIQEYs8xYMY-Ex_3ki-LykgjITbzb3iMvT1hM-Y,Aktif,2026-06-06T12:44:17.670Z,"[""{{nama_peminjam}}"",""{{nip_peminjam}}"",""{{pangkat_peminjam}}"",""{{jabatan_peminjam}}"",""{{unit_kerja}}"",""{{nama_barang}}"",""{{kode_barang}}"",""{{nibar}}"",""{{merek}}"",""{{bahan}}"",""{{tahun_perolehan}}"",""{{nomor_mesin}}""]"
T-005,Peralatan,Daftar Peminjam,DAFTAR PEMINJAM PERALATAN,1CloqeWDCKICC0w8TcBo2_GX3dJd6WehniMxECC6iF3U,Aktif,2026-06-11T15:50:35.237Z,"[""Template Excel / Spreadsheet""]"
T-006,Peralatan,Daftar Penandatangan,DAFTAR REKAP PAKTA PERALATAN,1hZueJ6m1p21Xb_Bx_cgNTN0Xd990jnKmh3ws4xREONY,Aktif,2026-06-12T05:27:59.983Z,"[""Template Excel / Spreadsheet""]"
T-007,Kendaraan,Daftar Peminjam,DAFTAR PEMINJAM KENDARAAN,1CPNlc8kO7ve2UFE0moHBqMk6lb_WP9e4w6S89Iys0uA,Aktif,2026-06-12T08:36:55.780Z,"[""Template Excel / Spreadsheet""]"
T-008,Kendaraan,Daftar Penandatangan,DAFTAR REKAP PAKTA INTEGRITAS KENDARAAN,1oYtK2UI56Q8lNxM7mwyuZyzUTSKRiyZAM4YtNv857lg,Aktif,2026-06-12T08:37:31.463Z,"[""Template Excel / Spreadsheet""]"
T-009,Kendaraan,Pemeriksaan Mobil,MASTER PEMERIKSAAN MOBIL,126jvXZPLKFhb4X4xDOcBncrH6b1t0h_kZXnE_k582mU,Aktif,2026-06-14T13:53:28.267Z,"[""{{PENANGGUNG_JAWAB}}"",""{{NOMOOR_PLAT}}"",""{{JENIS_KENDARAAN}}"",""{{LAMPU_UTAMA}}"",""{{LAMPU_HAZARD}}"",""{{LAMPU_SIGN}}"",""{{SIRINE_MOBIL}}"",""{{KLAKSON_MOBIL}}"",""{{PNL_SPIDOMETER}}"",""{{PNL_HAZARD}}"",""{{PNL_LAMPU_SIGN}}"",""{{INDIKATOR_REM}}"",""{{INDIKATOR_OLI}}"",""{{INDIKATOR_ENGINE}}"",""{{INDIKATOR_FUEL}}"",""{{INDIKATOR_SABUK}}"",""{{INDIKATOR_SUHU}}"",""{{INDIKATOR_PINTU}}"",""{{PLAT_MOTOR}}"",""{{KONDISI_BAN}}"",""{{AC_MOBIL}}"",""{{WIPER_MOBIL}}"",""{{KEBERSIHAN}}"",""{{BULAN_PEMERIKSAAN}}"",""{{TANGGAL_PERIKSA}}"",""{{foto_kendaraan}}""]"
T-010,Kendaraan,Pemeriksaan Motor,MASTER PEMERIKSAAN MOTOR,1u-yOy9dqpoIf5FK-qIFuUB63MVuWQIDi81dQ7IOxxAc,Aktif,2026-06-14T13:53:50.066Z,"[""{{PENANGGUNG_JAWAB}}"",""{{NOMOOR_PLAT}}"",""{{JENIS_KENDARAAN}}"",""{{DOUBLE_STARTER}}"",""{{KLAKSON}}"",""{{INDIKATOR_KENDARAAN}}"",""{{LAMPU_UTAMA}}"",""{{LAMPU_REM}}"",""{{LAMPU_SEIN}}"",""{{PLAT_NOMOR}}"",""{{SPOIN}}"",""{{FOOT_STEP}}"",""{{TUTUP_ANGIN}}"",""{{KONDISI_BAN}}"",""{{KEBERSIHAN}}"",""{{BULAN_PEMERIKSAAN}}"",""{{TANGGAL_PERIKSA}}"",""{{foto_kendaraan}}""]"
T-011,Kendaraan,Master Data Kendaraan,MASTER DATA KENDARAAN,1Pb3hW7ObOkM7ZBjAe5ZkwfnTwxwZic-ZfVqFPdeP_Fc,Aktif,2026-06-23T00:49:53.919Z,"[""Template Excel / Spreadsheet""]"
T-012,Peralatan,Master Data Peralatan,MASTER DATA PERALATAN,1kQba_dcGyha9i04TVHe6U1R9rIiFFHHKeC9fUOBDENg,Aktif,2026-06-23T00:53:38.326Z,"[""Template Excel / Spreadsheet""]"
T-013,Kendaraan dan Peralatan,L5 Pinjam Pakai Kendaraan Mesin,L5 Pinjam Kendaraan Mesin,1aQ9OEvAUfVQDWJ00mjwczmKZayLhxE0VRG4dbpi42LI,Aktif,2026-07-04T00:03:40.880Z,"[""Template Excel / Spreadsheet""]"
T-014,Rumah Dinas,Master Data Rumah Dinas,MASTER DATA RUMAH DINAS,1yA2QFBu_pyLQfTDZ-uWJQZhJkeY0AfaMkyf9m3jlqCw,Aktif,2026-07-24T01:59:25.993Z,"[""Template Excel / Spreadsheet""]"
T-015,Rumah Dinas,BA Pinjam Rumah Dinas,BERITA ACARA PINJAM RUMAH DINAS,1yPce_Dx3BVloSAhWQ4sGz-ZHCdPCqHLJ-JxvJzrNgpE,Aktif,2026-07-24T02:00:22.991Z,"[""{{nama_peminjam}}"",""{{nip_peminjam}}"",""{{jabatan_peminjam}}"",""{{nama_barang}}"",""{{kode_barang}}"",""{{nibar}}"",""{{kondisi}}"",""{{konstruksi}}"",""{{luas_lantai}}"",""{{letak_lokasi}}"",""{{dokumen_gedung}}"",""{{luas}}"",""{{status_tanah}}"",""{{asal_usul}}"",""{{nomer_sertifikat}}"",""{{penggunaan}}"",""{{foto_rumah_dinas}}""]"
